id,position,name,description,dueDate,timer,commentCount,boardId,listId,coverAttachmentId
1605293049158567379,32767.5,Different language of Getting Started?,"The Getting Started project is available in:
- English - <!--red-->EN<!--red-end-->
- Polish - <!--red-->PL<!--red-end-->

To access the Getting Started in different languages:
- Change your display language in 4ga Boards - Go to Settings -> Preferences -> Language
- Re-import Getting Started project - Go to Settings -> About -> Import Getting Started Project",,,0,1605293047145301445,1605293048755914187,
1605293049242453477,32767.5,Text editor: Description and Comments,Both the card description and comments allow the use of Markdown syntax.,,,1,1605293047145301445,1605293048764302802,
1605293049192121824,65535,You will see this card only after you expand the list,,,,0,1605293047145301445,1605293048764302799,
1605293049158567380,65535,4ga Boards Website,https://4gaboards.com,,,0,1605293047145301445,1605293048764302796,
1605293049166955990,65535,Getting Started,"## Welcome to 4ga Boards!

This board is an introduction of how to use 4ga Boards, including some of the basic and unique features. It includes some tips & tricks to help get most of 4ga Boards.

For full guide please visit the documentation:
https://docs.4gaboards.com",,,0,1605293047145301445,1605293048755914187,
1605293049242453476,65535,Cards,"If the card view gets cluttered, you can hide certain elements (description, tasks, attachments, comments) by clicking the <!--orange-->Minus<!--orange-end--> icon next to them. Click the <!--orange-->Plus<!--orange-end--> icon to show them again. This is saved across cards.

Card view menu icons on the top-right corner:

- Delete card by clicking the <!--orange-->Trash<!--orange-end--> icon (it will open popup to confirm deleting).
- Open card context menu by clicking the <!--orange-->Ellipsis<!--orange-end--> icon (three dots).
- Close card view by clicking the <!--orange-->X<!--orange-end--> icon.",,,0,1605293047145301445,1605293048764302801,
1605293049242453483,65535,Description: Local changes,"The <!--yellow-->Local changes<!--yellow-end--> text indicates that the description is still in the edit mode and the changes are not yet registered on the server.

To save them press `Ctrl` + `Enter` or click the <!--lime-->Save<!--lime-end--> button.",,,0,1605293047145301445,1605293048764302802,
1605293049158567381,65535,Projects/boards filtering,"Use the <!--lime-->Filter...<!--lime-end--> field in the sidebar to filter projects/boards.

Change filtering type (P - Project, B - Board) by pressing `Tab` or clicking the <!--orange-->Shuffle<!--orange-end--> icon (double arrow).

Remove filters by pressing `Esc` or clicking the <!--orange-->X<!--orange-end--> icon.",,,0,1605293047145301445,1605293048764302797,
1605293049200510433,65535,Go to Settings,"Settings can be accessed by clicking the <!--orange-->Cog<!--orange-end--> icon or your profile picture.

You can also go to the project settings directly by clicking the <!--orange-->Boxed Cog<!--orange-end--> icon (visible only if you have project manager permissions).

More about settings and permissions:
https://docs.4gaboards.com/docs/admin-settings",,,0,1605293047145301445,1605293048764302800,
1605293049208899042,131070,How to change language?,Go to Settings -> Preferences -> Language and select appriopriate language from the dropdown list.,,,0,1605293047145301445,1605293048764302800,
1605293049166955992,131070,Useful key combinations,"## Useful key combinations

`Ctrl` + `Enter`

Use it to quickly save various content, e.g. while editing description or adding a task.
If you use it while creating new card it will automatically open card view.

`Shift` + `Scroll`

Hold shift to scroll horizontally.",,,0,1605293047145301445,1605293048755914187,
1605293049166955991,131070,Documentation,https://docs.4gaboards.com,,,0,1605293047145301445,1605293048764302796,
1605293049166955994,131070,Navigating across the board,"Most of the board elements can be drag and dropped across the board.

Move around the list with many cards with mouse `Scroll` or scrollbar.

Move around the board with many lists by pressing `Shift` + `Scroll` or by clicking on the empty spot and dragging the board.",,,0,1605293047145301445,1605293048764302797,
1605293049242453478,131070,Moving cards,"Move cards across lists by dragging and dropping or use dropdown menu below the card's name.

Move across projects/boards by clicking the <!--orange-->Ellipsis<!--orange-end--> icon and press the <!--lime-->Move Card<!--lime-end--> button from the card context menu.",,,0,1605293047145301445,1605293048764302801,
1605293049242453486,131070,Text editor: View options,"View options can be changed with icons on the top-right or using shortcuts:

- Edit code (`Ctrl` + `7`) - shows only the edited text with Markdown syntax.
- Live code (`Ctrl` + `8`) - shows both Markdown syntax (on left) and live text preview (on the right).
- Preview code (`Ctrl` + `9`) - shows just the text preview.
- Toggle fullscreen (`Ctrl` + `0`)",,,0,1605293047145301445,1605293048764302802,
1605293049166955995,196605,GitHub,https://github.com/RARgames/4gaBoards,,,0,1605293047145301445,1605293048764302796,
